Statute Name,Violation Date,latitude,longitude,counts
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/1,47.57141,-122.347968,195
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/1,47.571422,-122.34976,187
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/10,47.57141,-122.347968,133
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/10,47.571422,-122.34976,138
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/11,47.57141,-122.347968,167
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/11,47.571422,-122.34976,195
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/12,47.57141,-122.347968,170
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/12,47.571422,-122.34976,164
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/13,47.57141,-122.347968,151
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/13,47.571422,-122.34976,177
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/14,47.57141,-122.347968,190
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/14,47.571422,-122.34976,210
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/15,47.57141,-122.347968,183
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/15,47.571422,-122.34976,200
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/16,47.57141,-122.347968,138
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/16,47.571422,-122.34976,156
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/17,47.57141,-122.347968,143
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/17,47.571422,-122.34976,117
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/18,47.57141,-122.347968,156
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/18,47.571422,-122.34976,135
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/19,47.57141,-122.347968,134
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/19,47.571422,-122.34976,158
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/2,47.57141,-122.347968,147
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/2,47.571422,-122.34976,158
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/20,47.57141,-122.347968,148
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/20,47.571422,-122.34976,204
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/21,47.57141,-122.347968,144
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/21,47.571422,-122.34976,156
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/22,47.57141,-122.347968,192
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/22,47.571422,-122.34976,185
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/23,47.57141,-122.347968,153
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/23,47.571422,-122.34976,130
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/24,47.57141,-122.347968,106
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/24,47.571422,-122.34976,122
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/25,47.57141,-122.347968,171
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/25,47.571422,-122.34976,194
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/26,47.57141,-122.347968,181
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/26,47.571422,-122.34976,189
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/27,47.57141,-122.347968,191
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/27,47.571422,-122.34976,26
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/28,47.57141,-122.347968,164
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/28,47.571422,-122.34976,185
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/29,47.57141,-122.347968,135
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/29,47.571422,-122.34976,169
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/3,47.57141,-122.347968,161
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/3,47.571422,-122.34976,144
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/30,47.57141,-122.347968,151
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/30,47.571422,-122.34976,156
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/31,47.57141,-122.347968,145
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/31,47.571422,-122.34976,141
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/4,47.57141,-122.347968,155
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/4,47.571422,-122.34976,185
HOV LANE VIOLATION CAMERA VIOLATION,2021/10/5,47.57141,-122.347968,160
